x y
0.059375000000000004 -1.0765860604013466
0.084375 -1.0769445345225763
0.109375 -1.0773037064020397
0.134375 -1.0776628301729294
0.15937500000000002 -1.0780211676561708
0.178125 -1.0782889681751358
0.203125 -1.0786441947613616
0.22812500000000002 -1.0789966756107832
0.253125 -1.079345729045178
0.278125 -1.0796906954388137
0.30312500000000003 -1.080030939960196
0.328125 -1.080365855198013
0.353125 -1.0806948636649119
0.37812500000000004 -1.0810174201690201
0.403125 -1.0813330140413007
0.42812500000000003 -1.0816411712056673
0.453125 -1.0819414560735299
0.478125 -1.082233473245922
0.503125 -1.0825168690001918
0.5281250000000001 -1.08279133253992
0.553125 -1.083056596983907
0.578125 -1.083312440069661
0.603125 -1.0835586845498468
